timeStep pedestrianId speedInAreaUsingAgentVelocity-PID6 sk-PID7 kNearestNeighbors-PID7
1 1 -1.0 N/A N/A
1 2 -1.0 N/A N/A
1 3 -1.0 N/A N/A
1 4 -1.0 N/A N/A
1 5 -1.0 N/A N/A
1 6 -1.0 N/A N/A
1 7 -1.0 N/A N/A
1 8 -1.0 N/A N/A
1 9 -1.0 N/A N/A
1 10 -1.0 N/A N/A
1 11 -1.0 N/A N/A
1 12 -1.0 N/A N/A
1 13 -1.0 N/A N/A
1 14 -1.0 N/A N/A
1 15 -1.0 N/A N/A
1 16 -1.0 N/A N/A
1 17 -1.0 N/A N/A
1 18 -1.0 N/A N/A
1 19 -1.0 N/A N/A
1 20 -1.0 N/A N/A
1 21 -1.0 N/A N/A
1 22 -1.0 N/A N/A
1 23 -1.0 N/A N/A
1 24 -1.0 N/A N/A
1 25 -1.0 N/A N/A
1 26 -1.0 N/A N/A
1 27 -1.0 N/A N/A
1 28 -1.0 N/A N/A
1 29 -1.0 N/A N/A
1 30 -1.0 N/A N/A
1 31 -1.0 N/A N/A
1 32 -1.0 N/A N/A
1 33 -1.0 N/A N/A
1 34 -1.0 N/A N/A
1 35 -1.0 N/A N/A
1 36 -1.0 N/A N/A
1 37 -1.0 N/A N/A
1 38 -1.0 N/A N/A
1 39 -1.0 N/A N/A
1 40 -1.0 N/A N/A
1 41 -1.0 N/A N/A
1 42 -1.0 N/A N/A
1 43 -1.0 N/A N/A
1 44 -1.0 N/A N/A
1 45 -1.0 N/A N/A
1 46 -1.0 N/A N/A
1 47 -1.0 N/A N/A
1 48 -1.0 N/A N/A
1 49 -1.0 N/A N/A
1 50 -1.0 N/A N/A
1 51 -1.0 N/A N/A
1 52 -1.0 N/A N/A
1 53 -1.0 N/A N/A
1 54 -1.0 N/A N/A
1 55 -1.0 N/A N/A
1 56 -1.0 N/A N/A
1 57 -1.0 N/A N/A
1 58 -1.0 N/A N/A
1 59 -1.0 N/A N/A
1 60 -1.0 N/A N/A
1 61 -1.0 N/A N/A
1 62 -1.0 N/A N/A
1 63 -1.0 N/A N/A
1 64 -1.0 N/A N/A
1 65 -1.0 N/A N/A
1 66 -1.0 N/A N/A
1 67 -1.0 N/A N/A
1 68 -1.0 N/A N/A
1 69 -1.0 N/A N/A
1 70 -1.0 N/A N/A
1 71 -1.0 N/A N/A
1 72 -1.0 N/A N/A
