timeStep pedestrianId speedInAreaUsingAgentVelocity-PID6 sk-PID7 kNearestNeighbors-PID7
1 1 -1.0 N/A N/A
1 2 -1.0 N/A N/A
1 3 -1.0 N/A N/A
1 4 -1.0 N/A N/A
1 5 -1.0 N/A N/A
1 6 -1.0 N/A N/A
1 7 -1.0 N/A N/A
1 8 -1.0 N/A N/A
1 9 -1.0 N/A N/A
1 10 -1.0 N/A N/A
1 11 -1.0 N/A N/A
1 12 -1.0 N/A N/A
1 13 0.0 4.45316140544909 -0.051760473042964605 0.8637327810235229 2.6975420229818674 0.517763204675691 3.732919584909741 0.09908930843834174 -4.128806048696653 0.8714313436969574 4.310426046435786 0.37944832747662005 4.5954077100841495 0.8066995360833564 5.390204229469777 0.10424116682678708 -5.585874398436726 0.010453446753179385 6.184702718372712 -0.23053998091749772 6.805020853679828 0.15038752709980852
1 14 -1.0 N/A N/A
1 15 -1.0 N/A N/A
1 16 -1.0 N/A N/A
1 17 -1.0 N/A N/A
1 18 -1.0 N/A N/A
1 19 0.0 4.49307177327896 0.051760473042964605 -0.8637327810235229 2.749302496024832 -0.3459695763478319 3.7846800579527056 -0.7646434725851812 -4.077045575653688 0.007698562673434495 4.362186519478751 -0.48428445354690286 4.647168183127114 -0.05703324494016648 5.441964702512742 -0.7594916141967358 -5.534113925393761 -0.8532793342703435 6.236463191415677 -1.0942727619410206 6.856781326722793 -0.7133452539237144
1 20 -1.0 N/A N/A
1 21 -1.0 N/A N/A
1 22 -1.0 N/A N/A
1 23 -1.0 N/A N/A
1 24 -1.0 N/A N/A
1 25 -1.0 N/A N/A
1 26 -1.0 N/A N/A
1 27 -1.0 N/A N/A
1 28 -1.0 N/A N/A
1 29 -1.0 N/A N/A
1 30 -1.0 N/A N/A
2 1 -1.0 N/A N/A
2 2 -1.0 N/A N/A
2 3 -1.0 N/A N/A
2 4 -1.0 N/A N/A
2 5 -1.0 N/A N/A
2 6 -1.0 N/A N/A
2 7 -1.0 N/A N/A
2 8 -1.0 N/A N/A
2 9 -1.0 N/A N/A
2 10 -1.0 N/A N/A
2 11 -1.0 N/A N/A
2 12 -1.0 N/A N/A
